Approved Symbol	Approved Name	Previous Symbols	Previous Name	Synonyms	Chromosome	Gene Family ID
IL37	interleukin 37	IL1F7	interleukin 1 family, member 7 (zeta)	FIL1, FIL1Z, FIL1(ZETA), IL-1H4, IL-1RP1, IL-1F7	2q14.1	601
ILDR1	immunoglobulin like domain containing receptor 1	DFNB42	"deafness, autosomal recessive 42, ""immunoglobulin-like domain containing receptor 1"""	MGC50831	3q13.33	1152
ILDR2	immunoglobulin like domain containing receptor 2	C1orf32	"chromosome 1 open reading frame 32, ""immunoglobulin-like domain containing receptor 2"""		1q24.1	
ILF2	interleukin enhancer binding factor 2		"interleukin enhancer binding factor 2, 45kD, ""interleukin enhancer binding factor 2, 45kDa"""	NF45	1q21.3	
ILF3	interleukin enhancer binding factor 3		"interleukin enhancer binding factor 3, 90kD, ""interleukin enhancer binding factor 3, 90kDa"""	NF90, MPHOSPH4, MPP4, DRBP76, NFAR-1	19p13.2	
ILK	integrin linked kinase		integrin-linked kinase		11p15.4	403
ILKAP	ILK associated serine/threonine phosphatase		"integrin-linked kinase-associated serine/threonine phosphatase 2C, ""integrin-linked kinase-associated serine/threonine phosphatase"""	DKFZP434J2031, FLJ10181, PPM1O	2q37.3	701
ILVBL	ilvB acetolactate synthase like		ilvB (bacterial acetolactate synthase)-like	209L8, AHAS, ILV2H, MGC1269, FLJ39061, MGC19535, HACL1L	19p13.12	
IMMP1L	inner mitochondrial membrane peptidase subunit 1	IMMP1	IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)	FLJ25059	11p13	
IMMP2L	inner mitochondrial membrane peptidase subunit 2	IMMP2L-IT1	"IMP2 inner mitochondrial membrane protease-like (S. cerevisiae), ""IMMP2L intronic transcript 1 (non-protein coding)"", ""IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)"""	IMP2	7q31.1	
IMMT	inner membrane mitochondrial protein		inner membrane protein, mitochondrial (mitofilin)	P87, P89, HMP, MINOS2, Mic60	2p11.2	
IMP3	IMP3, U3 small nucleolar ribonucleoprotein	MRPS4, C15orf12	"mitochondrial ribosomal protein S4, ""chromosome 15 open reading frame 12"", ""IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast)"""	FLJ10968, BRMS2	15q24.2	1486
IMP4	IMP4, U3 small nucleolar ribonucleoprotein		"IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast), ""IMP4, U3 small nucleolar ribonucleoprotein"""	MGC19606, BXDC4	2q21.1	1486
IMPA1	inositol monophosphatase 1	IMPA	inositol(myo)-1(or 4)-monophosphatase 1		8q21.13	1079
IMPA2	inositol monophosphatase 2		inositol(myo)-1(or 4)-monophosphatase 2		18p11.21	1079
IMPACT	impact RWD domain protein		Impact homolog (mouse)	RWDD5	18q11.2	
IMPAD1	inositol monophosphatase domain containing 1			FLJ20421, IMPA3, gPAPP	8q12.1	
IMPDH1	inosine monophosphate dehydrogenase 1	RP10	"retinitis pigmentosa 10 (autosomal dominant), ""IMP (inosine 5'-monophosphate) dehydrogenase 1"""	sWSS2608, LCA11	7q32.1	
IMPDH2	inosine monophosphate dehydrogenase 2		IMP (inosine 5'-monophosphate) dehydrogenase 2		3p21.31	
IMPG1	interphotoreceptor matrix proteoglycan 1	SPACR	sialoprotein associated with cones and rods	IPM150, GP147	6q14.1	
IMPG2	interphotoreceptor matrix proteoglycan 2			IPM200, RP56	3q12.3	
INA	internexin neuronal intermediate filament protein alpha	NEF5	internexin neuronal intermediate filament protein, alpha	NF-66	10q24.33	611
INAFM1	InaF motif containing 1	PRR24	proline rich 24		19q13.32	
INAFM2	InaF motif containing 2	LINC00984	"long intergenic non-protein coding RNA 984, ""InaF-motif containing 2"""	OGU1	15q15.1	
INAVA	innate immunity activator	C1orf106	chromosome 1 open reading frame 106	FLJ10901	1q32.1	
INCA1	inhibitor of CDK, cyclin A1 interacting protein 1				17p13.2	
INCENP	inner centromere protein		"inner centromere protein antigens (135kD, 155kD), ""inner centromere protein antigens 135/155kDa"""	FLJ31633	11q12.3	1338
INF2	inverted formin, FH2 and WH2 domain containing	C14orf151, C14orf173	"chromosome 14 open reading frame 151, ""chromosome 14 open reading frame 173"""	MGC13251	14q32.33	
ING1	inhibitor of growth family member 1			p33ING1, p33ING1b, p24ING1c, p33, p47, p47ING1a	13q34	88
ING2	inhibitor of growth family member 2	ING1L	inhibitor of growth family, member 1-like	p33ING2	4q35.1	88
ING3	inhibitor of growth family member 3			p47ING3, FLJ20089, Eaf4, MEAF4	7q31.31	88
ING4	inhibitor of growth family member 4			p29ING4, my036	12p13.31	88
ING5	inhibitor of growth family member 5			FLJ23842, p28ING5	2q37.3	88
INHA	inhibin alpha subunit		inhibin, alpha		2q35	
INHBA	inhibin beta A subunit		"inhibin, beta A (activin A, activin AB alpha polypeptide), ""inhibin, beta A"", ""inhibin beta A"""		7p14.1	542
INHBB	inhibin beta B subunit		"inhibin, beta B (activin AB beta polypeptide), ""inhibin, beta B"""		2q14.2	542
INHBC	inhibin beta C subunit		inhibin, beta C		12q13.3	
INHBE	inhibin beta E subunit		inhibin, beta E	activin, MGC4638	12q13.3	
INIP	INTS3 and NABP interacting protein	C9orf80	chromosome 9 open reading frame 80	HSPC043, hSSBIP1, SOSS-C, MISE	9q32	
INMT	indolethylamine N-methyltransferase				7p14.3	1400
INO80	INO80 complex subunit	INOC1	"INO80 complex homolog 1 (S. cerevisiae), ""INO80 homolog (S. cerevisiae)"""	KIAA1259, Ino80, hINO80, INO80A	15q15.1	595|1167
INO80B	INO80 complex subunit B	HMGA1L4, ZNHIT4	"high mobility group AT-hook 1-like 4, ""zinc finger, HIT type 4"""	HMGIYL4, PAPA-1, hIes2, PAP-1BP, IES2	2p13.1	595|83
INO80C	INO80 complex subunit C	C18orf37	chromosome 18 open reading frame 37	FLJ38183, hIes6, IES6	18q12.2	595
INO80D	INO80 complex subunit D			FLJ20309	2q33.3	595
INO80E	INO80 complex subunit E	CCDC95	coiled-coil domain containing 95	FLJ90652	16p11.2	595
INPP1	inositol polyphosphate-1-phosphatase				2q32.2	1079
INPP4A	inositol polyphosphate-4-phosphatase type I A	INPP4	"inositol polyphosphate-4-phosphatase, type I, 107kD, ""inositol polyphosphate-4-phosphatase, type I, 107kDa"""		2q11.2	823
INPP4B	inositol polyphosphate-4-phosphatase type II B		"inositol polyphosphate-4-phosphatase, type II, 105kD, ""inositol polyphosphate-4-phosphatase, type II, 105kDa"""		4q31.21	823|1079
INPP5A	inositol polyphosphate-5-phosphatase A		"inositol polyphosphate-5-phosphatase, 40kD, ""inositol polyphosphate-5-phosphatase, 40kDa"""	5PTASE	10q26.3	1079
INPP5B	inositol polyphosphate-5-phosphatase B		"inositol polyphosphate-5-phosphatase, 75kD, ""inositol polyphosphate-5-phosphatase, 75kDa"""		1p34.3	1079
INPP5D	inositol polyphosphate-5-phosphatase D		"inositol polyphosphate-5-phosphatase, 145kD, ""inositol polyphosphate-5-phosphatase, 145kDa"""	SHIP, hp51CN, SHIP1	2q37.1	741|1079
INPP5E	inositol polyphosphate-5-phosphatase E	JBTS1	"Joubert syndrome 1, ""inositol polyphosphate-5-phosphatase, 72 kDa"""	PPI5PIV, CORS1, pharbin	9q34.3	1079
INPP5F	inositol polyphosphate-5-phosphatase F			SAC2, KIAA0966, hSac2	10q26.11	1079
INPP5J	inositol polyphosphate-5-phosphatase J	PIB5PA	phosphatidylinositol (4,5) bisphosphate 5-phosphatase, A	INPP5, PIPP	22q12.2	1079
INPP5K	inositol polyphosphate-5-phosphatase K			SKIP	17p13.3	1079
INPPL1	inositol polyphosphate phosphatase like 1			SHIP2	11q13.4	760|741|1079
INS	insulin	IDDM2, IDDM1	insulin-dependent diabetes mellitus 2		11p15.5	542
INSC	INSC, spindle orientation adaptor protein		inscuteable homolog (Drosophila)		11p15.2	
INSIG1	insulin induced gene 1			CL-6, MGC1405	7q36.3	
INSIG2	insulin induced gene 2				2q14.1-q14.2	
INSL3	insulin like 3	RLNL	"relaxin-like factor, ""insulin-like 3 (Leydig cell)"""	RLF, MGC119818, MGC119819	19p13.11	542
INSL4	insulin like 4		insulin-like 4 (placenta)	EPIL	9p24.1	
INSL5	insulin like 5		insulin-like 5		1p31.3	542
INSL6	insulin like 6		insulin-like 6	RIF1	9p24.1	
INSM1	INSM transcriptional repressor 1		"insulinoma-associated 1, ""insulinoma associated 1"""	IA-1, IA1	20p11.23	1259
INSM2	INSM transcriptional repressor 2		insulinoma-associated 2	IA-6, Mlt1	14q13.2	28|1259
INSR	insulin receptor			CD220	19p13.2	471|555|321
INSRR	insulin receptor related receptor			IRR	1q23.1	555|321
INTS1	integrator complex subunit 1			DKFZp586J0619, KIAA1440, INT1, NET28	7p22.3	1366
INTS2	integrator complex subunit 2	KIAA1287	KIAA1287	INT2	17q23.2	1366
INTS3	integrator complex subunit 3	C1orf60	chromosome 1 open reading frame 60	FLJ21919, INT3, SOSS-A	1q21.3	1366
INTS4	integrator complex subunit 4			INT4, MGC16733, MST093	11q14.1	1366
INTS5	integrator complex subunit 5	KIAA1698	KIAA1698	INT5	11q12.3	1366
INTS6	integrator complex subunit 6	DDX26	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26	DICE1, HDB, Notchl2, DBI-1, DDX26A, INT6	13q14.3	1366
INTS6L	integrator complex subunit 6 like	DDX26B	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	FLJ41215	Xq26.3	1366
INTS7	integrator complex subunit 7	C1orf73	chromosome 1 open reading frame 73	DKFZP434B168, INT7	1q32.3	1366
INTS8	integrator complex subunit 8	C8orf52	chromosome 8 open reading frame 52	FLJ20530, INT8, MGC131633	8q22.1	1366
INTS9	integrator complex subunit 9			FLJ10871, CPSF2L, RC-74	8p21.1	1366
INTS10	integrator complex subunit 10	C8orf35	chromosome 8 open reading frame 35	FLJ10569, INT10	8p21.3	1366
INTS11	integrator complex subunit 11	CPSF3L	cleavage and polyadenylation specific factor 3-like	FLJ20542, RC-68, CPSF73L, INT11	1p36.33	1366
INTS12	integrator complex subunit 12	PHF22	PHD finger protein 22	SBBI22, INT12	4q24	88|1366
INTS13	integrator complex subunit 13	C12orf11, ASUN	"chromosome 12 open reading frame 11, ""asunder, spermatogenesis regulator homolog (Drosphila)"""	FLJ10637, NET48, Mat89Bb, SPATA30	12p11.23	1366
INTS14	integrator complex subunit 14	C15orf44, VWA9	"chromosome 15 open reading frame 44, ""von Willebrand factor A domain containing 9"""	DKFZP564O1664	15q22.31	1366
INTU	inturned planar cell polarity protein	PDZK6, PDZD6	"PDZ domain containing 6, ""inturned planar cell polarity effector homolog (Drosophila)"""	KIAA1284	4q28.1	1220
INVS	inversin	NPHP2	nephronophthisis 2 (infantile)		9q31.1	403
IP6K1	inositol hexakisphosphate kinase 1	IHPK1	inositol hexaphosphate kinase 1	KIAA0263	3p21.31	
IP6K2	inositol hexakisphosphate kinase 2	IHPK2	inositol hexaphosphate kinase 2		3p21.31	
IP6K3	inositol hexakisphosphate kinase 3	IHPK3	inositol hexaphosphate kinase 3	INSP6K3	6p21.31	
IPCEF1	interaction protein for cytohesin exchange factors 1			PIP3-E, KIAA0403	6q25.2	682
IPMK	inositol polyphosphate multikinase				10q21.1	
IPO4	importin 4			Imp4, FLJ23338	14q12	596
IPO5	importin 5	KPNB3, RANBP5	"karyopherin (importin) beta 3, ""RAN binding protein 5"""	IMB3, MGC2068, Pse1	13q32.2	596
IPO7	importin 7	RANBP7	RAN binding protein 7	Imp7	11p15.4	596
IPO8	importin 8	RANBP8	RAN binding protein 8	IMP8	12p11.21	596
IPO9	importin 9			Imp9, FLJ10402	1q32.1	596
IPO11	importin 11			RanBP11	5q12.1	596
IPO13	importin 13			IMP13, KIAA0724, RANBP13	1p34.1	596
IPP	intracisternal A particle-promoted polypeptide			KLHL27	1p34.1	861|617
IPPK	inositol-pentakisphosphate 2-kinase	C9orf12	"chromosome 9 open reading frame 12, ""inositol 1,3,4,5,6-pentakisphosphate 2-kinase"""	INSP5K2, FLJ13163, IP5K, IPK1	9q22.31	
IQANK1	IQ motif and ankyrin repeat containing 1				8q24.3	
IQCA1	IQ motif containing with AAA domain 1	IQCA	IQ motif containing with AAA domain	FLJ22527, DRC11	2q37.2-q37.3	981|413
IQCA1L	IQ motif containing with AAA domain 1 like	IQCA1P1	IQ motif containing with AAA domain 1 pseudogene 1	TCAG_9762	7q36.1	
IQCB1	IQ motif containing B1		IQ calmodulin-binding motif containing 1	KIAA0036, NPHP5, SLSN5	3q13.33	
IQCC	IQ motif containing C			FLJ10547	1p35.2	
IQCD	IQ motif containing D			DRC10, CFAP84	12q24.13	981|1491
IQCE	IQ motif containing E			KIAA1023	7p22.3	
IQCF1	IQ motif containing F1			MGC39725	3p21.2	
IQCF2	IQ motif containing F2				3p21.2	
IQCF3	IQ motif containing F3				3p21.2	
IQCF5	IQ motif containing F5				3p21.2	
IQCF6	IQ motif containing F6				3p21.2	
IQCG	IQ motif containing G			DKFZp434B227, DRC9, CFAP122	3q29	981|1491
IQCH	IQ motif containing H			FLJ12476	15q23	
IQCJ	IQ motif containing J				3q25.32	
IQCK	IQ motif containing K			MGC35048, FLJ36575	16p12.3	
IQCM	IQ motif containing M				4q31.23	
IQGAP1	IQ motif containing GTPase activating protein 1			p195, KIAA0051, SAR1, HUMORFA01	15q26.1	
IQGAP2	IQ motif containing GTPase activating protein 2				5q13.3	
IQGAP3	IQ motif containing GTPase activating protein 3				1q22	
IQSEC1	IQ motif and Sec7 domain 1			KIAA0763, GEP100, BRAG2, ARF-GEP100	3p25.2	
IQSEC2	IQ motif and Sec7 domain 2	MRX1, MRX78, MRX18	"mental retardation, X-linked 1 (non-dysmorphic), ""mental retardation, X-linked 78"", ""mental retardation, X-linked 18"""	KIAA0522	Xp11.22	103
IQSEC3	IQ motif and Sec7 domain 3			KIAA1110, MGC30156	12p13.33	
IQUB	IQ motif and ubiquitin domain containing			FLJ35834	7q31.32	
IRAK1	interleukin 1 receptor associated kinase 1			IRAK, pelle	Xq28	
IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1			AIP70, SIMPL	6q14.1	
IRAK2	interleukin 1 receptor associated kinase 2				3p25.3	
IRAK3	interleukin 1 receptor associated kinase 3		interleukin-1 receptor-associated kinase 3	IRAK-M	12q14.3	
IRAK4	interleukin 1 receptor associated kinase 4			NY-REN-64	12q12	
IREB2	iron responsive element binding protein 2			IRP2	15q25.1	
IRF1	interferon regulatory factor 1			MAR	5q31.1	
IRF2	interferon regulatory factor 2				4q35.1	
IRF2BP1	interferon regulatory factor 2 binding protein 1			DKFZP434M154, IRF-2BP1	19q13.32	
IRF2BP2	interferon regulatory factor 2 binding protein 2			IRF-2BP2	1q42.3	
IRF2BPL	interferon regulatory factor 2 binding protein like	C14orf4	"chromosome 14 open reading frame 4, ""interferon regulatory factor 2 binding protein-like"""	EAP1, KIAA1865	14q24.3	
IRF3	interferon regulatory factor 3				19q13.33	
IRF4	interferon regulatory factor 4	MUM1		LSIRF	6p25.3	
IRF5	interferon regulatory factor 5				7q32.1	
IRF6	interferon regulatory factor 6	VWS, LPS	Van der Woude syndrome	OFC6, VWS1	1q32.2	
IRF7	interferon regulatory factor 7				11p15.5	
IRF8	interferon regulatory factor 8	ICSBP1	interferon consensus sequence binding protein 1	IRF-8, ICSBP	16q24.1	
IRF9	interferon regulatory factor 9	ISGF3G	"interferon-stimulated transcription factor 3, gamma (48kD), ""interferon-stimulated transcription factor 3, gamma 48kDa"""		14q12	
IRGC	immunity related GTPase cinema	IRGC1	immunity-related GTPase family, cinema 1	Iigp5, CINEMA	19q13.31	
IRGM	immunity related GTPase M	IRGM1	immunity-related GTPase family, M1	LRG47, LRG-47, IFI1	5q33.1	
IRGQ	immunity related GTPase Q	IRGQ1	immunity-related GTPase family, Q1	FKSG27	19q13.31	
IRS1	insulin receptor substrate 1			HIRS-1	2q36.3	682
IRS2	insulin receptor substrate 2				13q34	682
IRS4	insulin receptor substrate 4			PY160, IRS-4	Xq22.3	
IRX1	iroquois homeobox 1			IRX-5	5p15.33	526
IRX2	iroquois homeobox 2				5p15.33	526
IRX3	iroquois homeobox 3			IRX-1	16q12.2	526
IRX4	iroquois homeobox 4		iroquois homeobox protein 4		5p15.33	526
IRX5	iroquois homeobox 5			IRX-2a	16q12.2	526
IRX6	iroquois homeobox 6	IRX7	"iroquois homeobox protein 7, ""iroquois homeobox protein 6"""	IRX-3	16q12.2	526
ISCA1	iron-sulfur cluster assembly 1	HBLD2	"HESB like domain containing 2, ""iron-sulfur cluster assembly 1 homolog (S. cerevisiae)"""	MGC4276, ISA1, hIscA	9q21.33	
ISCA2	iron-sulfur cluster assembly 2	HBLD1	"HesB like domain containing 1, ""iron-sulfur cluster assembly 2 homolog (S. cerevisiae)"""	ISA2	14q24.3	
ISCU	iron-sulfur cluster assembly enzyme	NIFUN	"NifU-like N-terminal domain containing, ""IscU iron-sulfur cluster scaffold homolog (E. coli)"", ""iron-sulfur cluster scaffold homolog (E. coli)"""	ISU2, hnifU, IscU	12q23.3	
ISG15	ISG15 ubiquitin-like modifier	G1P2	interferon, alpha-inducible protein (clone IFI-15K)	IFI15, UCRP	1p36.33	
ISG20	interferon stimulated exonuclease gene 20		interferon stimulated exonuclease gene 20kDa	HEM45, CD25	15q26.1	544
ISG20L2	interferon stimulated exonuclease gene 20 like 2		interferon stimulated exonuclease gene 20kDa-like 2	FLJ12671	1q23.1	544
ISL1	ISL LIM homeobox 1		ISL1 transcription factor, LIM/homeodomain, (islet-1)	Isl-1, ISLET1	5q11.1	522
ISL2	ISL LIM homeobox 2		ISL2 transcription factor, LIM/homeodomain, (islet-2)	FLJ10160	15q24.3	522
ISLR	immunoglobulin superfamily containing leucine rich repeat			HsT17563	15q24.1	593
ISLR2	immunoglobulin superfamily containing leucine rich repeat 2			KIAA1465	15q24.1	594
ISM1	isthmin 1	C20orf82	"chromosome 20 open reading frame 82, ""isthmin 1 homolog (zebrafish)"", ""isthmin 1, angiogenesis inhibitor"""	bA149I18.1	20p12.1	
ISM2	isthmin 2	THSD3	"thrombospondin, type I domain-containing 3, ""thrombospondin, type I, domain containing 3"", ""isthmin 2 homolog (zebrafish)"""	FLJ32147, TAIL1	14q24.3	
ISOC1	isochorismatase domain containing 1			CGI-111	5q23.3	
ISOC2	isochorismatase domain containing 2			FLJ23469	19q13.42	
ISPD	isoprenoid synthase domain containing			hCG_1745121, IspD, Nip	7p21.2	
IST1	IST1, ESCRT-III associated factor	KIAA0174	"KIAA0174, ""increased sodium tolerance 1 homolog (yeast)"""		16q22.2	1119
ISX	intestine specific homeobox		intestine-specific homeobox	RAXLX	22q12.3	521
ISY1	ISY1 splicing factor homolog		ISY1 splicing factor homolog (S. cerevisiae)	KIAA1160, fSAP33	3q21.3	
ISYNA1	inositol-3-phosphate synthase 1			Ino1, INOS, IPS	19p13.11	
ITCH	itchy E3 ubiquitin protein ligase		"itchy (mouse homolog) E3 ubiquitin protein ligase, ""itchy E3 ubiquitin protein ligase homolog (mouse)"""	AIP4	20q11.22	823
ITFG1	integrin alpha FG-GAP repeat containing 1			CDA08, TIP, LNKN-1	16q12.1	
ITFG2	integrin alpha FG-GAP repeat containing 2	FGGAP1	FG-GAP repeat containing 1	MDS028	12p13.33	1393
ITGA1	integrin subunit alpha 1		integrin, alpha 1	VLA1, CD49a	5q11.2	1160|471
ITGA2	integrin subunit alpha 2	CD49B	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	CD49b	5q11.2	1160|471
ITGA2B	integrin subunit alpha 2b	GP2B	"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B), ""integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)"""	CD41B, CD41, PPP1R93	17q21.31	1160|471|694
ITGA3	integrin subunit alpha 3	MSK18	"antigen identified by monoclonal antibody J143, ""integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)"""	CD49c, VLA3a, VCA-2, GAP-B3	17q21.33	1160|471
ITGA4	integrin subunit alpha 4	CD49D	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	CD49d	2q31.3	1160|471
ITGA5	integrin subunit alpha 5	FNRA	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	CD49e	12q13.13	1160|471
ITGA6	integrin subunit alpha 6		integrin, alpha 6	CD49f	2q31.1	1160|471
ITGA7	integrin subunit alpha 7		integrin, alpha 7		12q13.2	1160
ITGA8	integrin subunit alpha 8		integrin, alpha 8		10p13	1160
ITGA9	integrin subunit alpha 9		integrin, alpha 9	RLC, ITGA4L, ALPHA-RLC	3p22.2	1160
ITGA10	integrin subunit alpha 10		integrin, alpha 10		1q21.1	1160
ITGA11	integrin subunit alpha 11		integrin, alpha 11	HsT18964	15q23	1160
ITGAD	integrin subunit alpha D		integrin, alpha D	CD11d, ADB2	16p11.2	1160|471
ITGAE	integrin subunit alpha E		integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	CD103, HUMINAE	17p13.2	1160|471
ITGAL	integrin subunit alpha L	CD11A	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	LFA-1	16p11.2	1160|471
ITGAM	integrin subunit alpha M	CR3A, CD11B	"integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide), ""integrin, alpha M (complement component 3 receptor 3 subunit)"""	MAC-1, CD11b	16p11.2	492|1160|471
ITGAV	integrin subunit alpha V	VNRA, MSK8, VTNR	"antigen identified by monoclonal antibody L230, ""vitronectin receptor"", ""integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)"", ""integrin, alpha V"""	CD51	2q32.1	1160|471
ITGAX	integrin subunit alpha X	CD11C	"integrin, alpha X (antigen CD11C (p150), alpha polypeptide), ""integrin, alpha X (complement component 3 receptor 4 subunit)"""	CD11c	16p11.2	492|1160|471
ITGB1	integrin subunit beta 1	FNRB, MSK12, MDF2	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	CD29, GPIIA	10p11.22	1159|471
ITGB1BP1	integrin subunit beta 1 binding protein 1		integrin beta 1 binding protein 1	ICAP-1A, ICAP-1B, ICAP1, ICAP1A, ICAP1B, ICAP-1alpha	2p25.1	
ITGB1BP2	integrin subunit beta 1 binding protein 2		integrin beta 1 binding protein 2	CHORDC3	Xq13.1	
ITGB2	integrin subunit beta 2	CD18, MFI7	"integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit), ""integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"""	LFA-1, MAC-1	21q22.3	492|1159|471
ITGB3	integrin subunit beta 3	GP3A	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	CD61, GPIIIa	17q21.32	1159|471
ITGB3BP	integrin subunit beta 3 binding protein		integrin beta 3 binding protein (beta3-endonexin)	NRIF3, HSU37139, TAP20, CENPR	1p31.3	
ITGB4	integrin subunit beta 4		integrin, beta 4	CD104	17q25.1	1159|471|555
ITGB5	integrin subunit beta 5		integrin, beta 5		3q21.2	1159
ITGB6	integrin subunit beta 6		integrin, beta 6		2q24.2	1159
ITGB7	integrin subunit beta 7		integrin, beta 7		12q13.13	1159
ITGB8	integrin subunit beta 8		integrin, beta 8		7p21.1	1159
ITGBL1	integrin subunit beta like 1		integrin, beta-like 1 (with EGF-like repeat domains)	TIED, OSCP	13q33.1	1159
ITIH1	inter-alpha-trypsin inhibitor heavy chain 1		inter-alpha (globulin) inhibitor, H1 polypeptide	H1P, IATIH, ITIH	3p21.1	
ITIH2	inter-alpha-trypsin inhibitor heavy chain 2		inter-alpha (globulin) inhibitor, H2 polypeptide	H2P	10p14	1250
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3		"inter-alpha (globulin) inhibitor, H3 polypeptide, ""inter-alpha (globulin) inhibitor H3"""	H3P	3p21.1	
ITIH4	inter-alpha-trypsin inhibitor heavy chain family member 4	ITIHL1	"inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein), ""inter-alpha-trypsin inhibitor heavy chain family, member 4"""	IHRP, H4P	3p21.1	
ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5		"inter-alpha (globulin) inhibitor H5, ""inter-alpha-trypsin inhibitor heavy chain family, member 5"""	MGC10848	10p14	
ITIH6	inter-alpha-trypsin inhibitor heavy chain family member 6	ITIH5L	"inter-alpha (globulin) inhibitor H5-like, ""inter-alpha-trypsin inhibitor heavy chain family, member 6"""	UNQ6369	Xp11.22	
ITK	IL2 inducible T-cell kinase		IL2-inducible T-cell kinase	EMT, PSCTK2, LYK	5q33.3	1457|682|741
ITLN1	intelectin 1		intelectin 1 (galactofuranose binding)	ITLN, FLJ20022, LFR, HL-1, hIntL	1q23.3	
ITLN2	intelectin 2			HL-2	1q23.3	554
ITM2A	integral membrane protein 2A			BRICD2A, E25A	Xq21.1	457
ITM2B	integral membrane protein 2B			BRI, E25B, E3-16, BRICD2B, BRI2	13q14.2	457
ITM2C	integral membrane protein 2C			BRI3, E25, hRPC.1050_D_4, ITM3, BRICD2C	2q37.1	457
ITPA	inosine triphosphatase	C20orf37	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	HLC14-06-P, dJ794I6.3	20p13	
ITPK1	inositol-tetrakisphosphate 1-kinase		inositol 1,3,4-triphosphate 5/6 kinase		14q32.12	
ITPKA	inositol-trisphosphate 3-kinase A		inositol 1,4,5-trisphosphate 3-kinase A	IP3KA, IP3-3KA	15q15.1	
ITPKB	inositol-trisphosphate 3-kinase B		inositol 1,4,5-trisphosphate 3-kinase B	IP3KB, IP3-3KB	1q42.12	
ITPKC	inositol-trisphosphate 3-kinase C		inositol 1,4,5-trisphosphate 3-kinase C	IP3KC, IP3-3KC	19q13.2	
ITPR1	inositol 1,4,5-trisphosphate receptor type 1	SCA15, SCA16, SCA29	"spinocerebellar ataxia 15, ""spinocerebellar ataxia 16"", ""spinocerebellar ataxia 29"", ""inositol 1,4,5-trisphosphate receptor, type 1"""	Insp3r1, IP3R1, ACV, PPP1R94	3p26.1	297|694
ITPR2	inositol 1,4,5-trisphosphate receptor type 2		"inositol 1,4,5-triphosphate receptor, type 2, ""inositol 1,4,5-trisphosphate receptor, type 2"""	IP3R2, CFAP48	12p11.23	1491|297
ITPR3	inositol 1,4,5-trisphosphate receptor type 3		"inositol 1,4,5-triphosphate receptor, type 3, ""inositol 1,4,5-trisphosphate receptor, type 3"""	IP3R3	6p21.31	297|694
ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein	KIAA1754	"KIAA1754, ""inositol 1,4,5-triphosphate receptor interacting protein"""	bA127L20.2, DANGER	10q25.1	
ITPRIPL1	inositol 1,4,5-trisphosphate receptor interacting protein-like 1	KIAA1754L	"KIAA1754-like, ""inositol 1,4,5-triphosphate receptor interacting protein-like 1"""		2q11.2	
ITPRIPL2	inositol 1,4,5-trisphosphate receptor interacting protein like 2			FLJ22994, MGC126798, MGC126800, LOC162073	16p12.3	
ITSN1	intersectin 1	SH3D1A, ITSN	intersectin 1 (SH3 domain protein)	SH3P17, MGC134948, MGC134949	21q22.11	722|682|823|863
ITSN2	intersectin 2	SH3D1B	SH3 domain protein 1B	KIAA1256, SWAP, SH3P18, SWA, PRO2015	2p23.3	722|823|863
IVD	isovaleryl-CoA dehydrogenase		"isovaleryl Coenzyme A dehydrogenase, ""isovaleryl CoA dehydrogenase"""	ACAD2	15q15.1	974
IVL	involucrin				1q21.3	1352
IVNS1ABP	influenza virus NS1A binding protein			NS1-BP, HSPC068, NS-1, KIAA0850, ND1, KLHL39	1q25.3	861|617
